Date,Open,High,Low,Close,Volume
2021-10-13,291.634,293.987,290.235,293.024,23686767.094443
2021-10-14,295.883,299.915,294.534,299.398,27568705.663722
2021-10-15,298.991,301.066,297.183,300.828,25669539.813402
2021-10-18,300.202,304.799,299.338,303.886,22984246.585912
2021-10-19,304.918,305.871,303.816,304.819,17880476.460733
2021-10-20,305.781,306.258,302.714,304.004,16722562.326696
2021-10-21,303.766,307.568,302.962,307.311,17107867.887738
2021-10-22,306.954,307.638,304.392,305.731,17645058.286428
2021-10-25,305.931,305.961,303.062,304.719,17751374.449461
2021-10-26,307.548,308.928,305.166,306.665,28422623.4828
2021-10-27,312.493,322.48,312.493,319.581,53178567.727921
2021-10-28,320.722,321.269,317.794,320.752,26592922.186043
2021-10-29,320.535,328.318,320.305,327.94,35155944.884108
2021-11-01,327.682,327.811,322.748,325.717,27376856.698545
2021-11-02,326.649,329.747,326.341,329.43,26784210.09214
2021-11-03,330.193,331.187,326.987,330.293,21741243.863475
2021-11-04,329.19,332.815,325.855,332.715,24261317.782737
2021-11-05,334.75,335.029,330.71,332.338,22823262.921195
2021-11-08,333.559,333.896,330.73,333.252,21131398.83203
2021-11-09,333.371,334.959,330.82,332.229,21546371.021528
2021-11-10,330.86,330.918,326.263,327.136,25786977.436601
2021-11-11,327.583,330.074,326.848,328.745,17038845.533341
2021-11-12,330.213,333.489,330.084,332.994,24098357.820145
2021-11-15,333.787,334.125,330.323,332.348,16910587.628909
2021-11-16,331.96,336.895,331.792,335.743,21121116.442268
2021-11-17,335.793,339.01,334.859,335.972,19231913.671603
2021-11-18,335.039,339.268,333.986,338.106,22674020.198394
2021-11-19,339.455,341.898,339.019,339.922,22169204.016686
2021-11-22,341.422,346.426,336.399,336.676,31321879.663009
2021-11-23,333.916,336.299,330.463,334.542,30712674.259062
2021-11-24,333.162,335.019,330.81,334.77,21864276.968172
2021-11-26,331.246,334.79,325.071,326.621,24444161.598573
2021-11-29,331.832,335.882,331.633,333.509,28831125.865339
2021-11-30,332.209,334.642,325.934,327.523,43287454.726306
2021-12-01,332.02,336.131,326.331,327.017,33714120.753122
2021-12-02,327.235,330.393,324.764,326.431,31054262.539728
2021-12-03,328.903,329.608,315.074,320.008,42170757.785322
2021-12-06,320.942,324.406,316.266,323.165,30313965.731898
2021-12-07,328.566,332.685,327.037,331.812,31312616.648093
2021-12-08,332.199,332.387,327.731,331.862,24993002.283312
2021-12-09,331.306,333.361,329.033,330.006,22422308.143133
2021-12-10,331.872,339.814,331.683,339.358,38452656.525958
2021-12-13,337.521,340.598,335.932,336.249,29170223.124268
2021-12-14,330.124,331.534,321.1,325.29,44855097.111645
2021-12-15,325.558,332.08,321.488,331.544,35712649.461566
2021-12-16,332.597,333.639,320.018,321.885,35363113.683327
2021-12-17,317.903,321.905,314.309,320.792,48433328.457449
2021-12-20,317.079,319.799,314.617,316.94,28591956.552761
2021-12-21,320.285,324.684,316.831,324.247,24972420.379902
2021-12-22,325.25,330.511,322.728,330.104,25064168.145292
2021-12-23,329.657,333.272,329.637,331.584,19801670.679168
2021-12-27,332.348,339.298,332.318,339.268,20133935.507676
2021-12-28,339.962,340.618,337.163,338.086,15808217.336592
2021-12-29,338.136,341.105,336.528,338.771,15182901.377996
2021-12-30,338.731,339.942,335.673,336.17,16144342.09041
2021-12-31,335.366,336.2,332.735,333.202,18169467.215319
2022-01-03,332.239,334.859,326.719,331.643,29188979.822913
2022-01-04,331.723,332.09,323.095,325.954,32980470.027546
2022-01-05,322.837,323.046,313.049,313.446,40429642.378814
2022-01-06,310.24,315.739,308.601,310.964,40017638.665279
2022-01-07,311.233,313.565,307.211,311.123,33026609.834114
2022-01-10,306.615,311.797,301.859,311.351,44704466.346809
2022-01-11,310.467,313.674,307.012,312.057,29662132.932539
